species,generation,evolution stage,habitat,tier,map,table,time of day,rarity
RATTATA_ALOLA,1,0,night-spooky,PG,MAP_JAGGED_PASS,land,night,uncommon
SANDSHREW_ALOLA,1,0,cave,PG,MAP_METEOR_FALLS_1F_1R,land,any,uncommon
DIGLETT_ALOLA,1,0,cave,PG,MAP_METEOR_FALLS_B1F_1R,land,any,uncommon
MEOWTH_ALOLA,1,0,night-spooky,PG,MAP_METEOR_FALLS_B1F_2R,land,night,uncommon
MEOWTH_GALAR,1,0,cave,PG,MAP_METEOR_FALLS_STEVENS_CAVE,land,any,uncommon
GROWLITHE_HISUI,1,0,cave,PG,MAP_MT_PYRE_1F,land,any,uncommon
GEODUDE_ALOLA,1,0,cave,PG,MAP_MT_PYRE_2F,land,any,uncommon
DREEPY,8,0,night-spooky,PG,MAP_MT_PYRE_3F,land,night,uncommon
GRIMER_ALOLA,1,0,night-spooky,PG,MAP_MT_PYRE_4F,land,night,uncommon
DRATINI,1,0,dragon,PG,MAP_MT_PYRE_6F,land,any,uncommon
STUNFISK_GALAR,5,0,cave,PG,MAP_MT_PYRE_EXTERIOR,land,any,uncommon
WOOPER_PALDEA,2,0,cave,PG,MAP_MT_PYRE_EXTERIOR,land,any,uncommon
TYPHLOSION,2,2,volcanic,PG,MAP_MT_PYRE_SUMMIT,land,any,rare
PONYTA_GALAR,1,0,field,PG,MAP_ROUTE113,land,any,uncommon
SLOWPOKE_GALAR,1,0,field,PG,MAP_ROUTE115,land,any,uncommon
FARFETCHD_GALAR,1,0,field,PG,MAP_ROUTE117,land,any,uncommon
VOLTORB_HISUI,1,0,urban-electric,PG,MAP_ROUTE118,land,any,uncommon
SLAKING,3,2,field,PG,MAP_ROUTE122,land,any,rare
TOGEKISS,2,2,field,PG,MAP_ROUTE123,land,any,rare
BLISSEY,1,2,field,PG,MAP_ROUTE124,land,any,rare
ELECTIVIRE,1,2,urban-electric,PG,MAP_ROUTE125,land,any,rare
TAUROS_PALDEA_COMBAT,1,0,field,PG,MAP_ROUTE125,land,any,uncommon
CROBAT,1,2,field,PG,MAP_ROUTE126,land,any,rare
TAUROS_PALDEA_AQUA,1,0,water,PG,MAP_ROUTE126,water,any,uncommon
PORYGON_Z,1,2,field,PG,MAP_ROUTE127,land,any,rare
TYPHLOSION_HISUI,2,2,volcanic,PG,MAP_ROUTE128,land,any,rare
INFERNAPE,4,2,volcanic,PG,MAP_ROUTE129,land,any,rare
DELPHOX,6,2,volcanic,PG,MAP_ROUTE130,land,any,rare
SALAMENCE,3,2,dragon,PG,MAP_ROUTE130,land,any,rare
DRAGONITE,1,2,dragon,PG,MAP_ROUTE131,land,any,rare
SNEASEL_HISUI,2,0,field,PG,MAP_ROUTE131,land,any,uncommon
FERALIGATR,2,2,water,PG,MAP_ROUTE131,water,any,rare
BAXCALIBUR,9,2,ice,PG,MAP_ROUTE132,land,any,rare
SCEPTILE,3,2,forest,PG,MAP_ROUTE132,land,any,rare
BLAZIKEN,3,2,volcanic,PG,MAP_ROUTE133,land,any,rare
GOODRA,6,2,dragon,PG,MAP_ROUTE133,land,any,rare
KOMMO_O,7,2,dragon,PG,MAP_ROUTE134,land,any,rare
WALREIN,3,2,water,PG,MAP_ROUTE134,water,any,rare
GOOMY,6,0,dragon,PG,MAP_SAFARI_ZONE_EAST,land,any,uncommon
EMPOLEON,4,2,water,PG,MAP_SAFARI_ZONE_EAST,water,any,rare
CHESNAUGHT,6,2,forest,PG,MAP_SAFARI_ZONE_NORTH,land,any,rare
GRENINJA,6,2,water,PG,MAP_SAFARI_ZONE_NORTHWEST,water,any,rare
JANGMO_O,7,0,dragon,PG,MAP_SAFARI_ZONE_NORTH_FRLG,land,any,uncommon
BASCULEGION_M,5,1,water,PG,MAP_SAFARI_ZONE_NORTH_FRLG,water,any,rare
FRIGIBAX,9,0,ice,PG,MAP_SAFARI_ZONE_SOUTHEAST,land,any,uncommon
BAGON,3,0,dragon,PG,MAP_SAFARI_ZONE_WEST,land,any,uncommon
MAMOSWINE,2,2,cave,PG,MAP_SEAFLOOR_CAVERN_ENTRANCE,land,any,rare
AGGRON,3,2,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM1,land,any,rare
METAGROSS,3,2,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM2,land,any,rare
QWILFISH_HISUI,2,0,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM2,land,night,uncommon
HYDREIGON,5,2,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM3,land,night,rare
DRAGAPULT,8,2,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM4,land,night,rare
CORSOLA_GALAR,2,0,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM4,land,night,uncommon
GARCHOMP,4,2,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM5,land,any,rare
GOODRA_HISUI,6,2,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM6,land,any,rare
LARVITAR,2,0,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM6,land,any,uncommon
KOMMO_O_TOTEM,7,2,dragon,PG,MAP_SEAFLOOR_CAVERN_ROOM7,land,any,rare
DEINO,5,0,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM7,land,night,uncommon
ZIGZAGOON_GALAR,3,0,night-spooky,PG,MAP_SEAFLOOR_CAVERN_ROOM7,land,night,uncommon
TYRANITAR,2,2,cave,PG,MAP_SEAFLOOR_CAVERN_ROOM8,land,any,rare
URSALUNA,2,2,cave,PG,MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,land,any,rare
KINGAMBIT,5,2,cave,PG,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land,any,rare
BELDUM,3,0,cave,PG,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land,any,uncommon
KINGDRA,1,2,water,PG,MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,water,any,rare
MAGMORTAR,1,2,volcanic,PG,MAP_SHOAL_CAVE_LOW_TIDE_LOWER_ROOM,land,any,rare
HAXORUS,5,2,dragon,PG,MAP_SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM,land,any,rare
GIBLE,4,0,cave,PG,MAP_SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM,land,any,uncommon
HYDRAPPLE,8,2,dragon,PG,MAP_VICTORY_ROAD_1F,land,any,rare
ANNIHILAPE,1,2,night-spooky,PG,MAP_VICTORY_ROAD_1F_FRLG,land,night,rare
MAGNEZONE,1,2,cave,PG,MAP_VICTORY_ROAD_2F,land,any,rare
RHYPERIOR,1,2,cave,PG,MAP_VICTORY_ROAD_3F,land,any,rare
YAMASK_GALAR,5,0,cave,PG,MAP_VICTORY_ROAD_3F,land,any,uncommon
VANILLUXE,5,2,ice,PG,MAP_VICTORY_ROAD_B1F,land,any,rare
ZORUA_HISUI,5,0,night-spooky,PG,MAP_VICTORY_ROAD_B1F,land,night,uncommon
SWAMPERT,3,2,water,PG,MAP_VICTORY_ROAD_B2F,water,any,rare
CATERPIE,1,0,forest,T1,MAP_PETALBURG_WOODS,land,any,common
GRUBBIN,7,0,forest,T1,MAP_PETALBURG_WOODS,land,any,common
HOOTHOOT,2,0,field,T1,MAP_PETALBURG_WOODS,land,night,common
LECHONK,9,0,field,T1,MAP_PETALBURG_WOODS,land,any,common
SEWADDLE,5,0,forest,T1,MAP_PETALBURG_WOODS,land,any,common
SHINX,4,0,urban-electric,T1,MAP_PETALBURG_WOODS,land,any,common
WURMPLE,3,0,forest,T1,MAP_PETALBURG_WOODS,land,any,common
BUNNELBY,6,0,field,T1,MAP_ROUTE101,land,any,common
LEDYBA,2,0,forest,T1,MAP_ROUTE101,land,morning,common
PATRAT,5,0,field,T1,MAP_ROUTE101,land,any,common
SKWOVET,8,0,field,T1,MAP_ROUTE101,land,any,common
TAILLOW,3,0,field,T1,MAP_ROUTE101,land,any,common
TAROUNTULA,9,0,forest,T1,MAP_ROUTE101,land,any,common
WEEDLE,1,0,forest,T1,MAP_ROUTE101,land,any,common
FLETCHLING,6,0,field,T1,MAP_ROUTE102,land,any,common
LILLIPUP,5,0,field,T1,MAP_ROUTE102,land,any,common
NYMBLE,9,0,forest,T1,MAP_ROUTE102,land,any,common
PIDGEY,1,0,field,T1,MAP_ROUTE102,land,any,common
ROOKIDEE,8,0,field,T1,MAP_ROUTE102,land,any,common
SPINARAK,2,0,forest,T1,MAP_ROUTE102,land,night,common
STARLY,4,0,field,T1,MAP_ROUTE102,land,any,common
BIDOOF,4,0,field,T1,MAP_ROUTE103,land,any,common
BLIPBUG,8,0,forest,T1,MAP_ROUTE103,land,any,common
PAWMI,9,0,urban-electric,T1,MAP_ROUTE103,land,any,common
PIKIPEK,7,0,field,T1,MAP_ROUTE103,land,any,common
POOCHYENA,3,0,night-spooky,T1,MAP_ROUTE103,land,night,common
PURRLOIN,5,0,night-spooky,T1,MAP_ROUTE103,land,night,common
RATTATA,1,0,field,T1,MAP_ROUTE103,land,any,common
KRICKETOT,4,0,forest,T1,MAP_ROUTE104,land,any,common
PIDOVE,5,0,field,T1,MAP_ROUTE104,land,any,common
SENTRET,2,0,field,T1,MAP_ROUTE104,land,any,common
WOOLOO,8,0,field,T1,MAP_ROUTE104,land,any,common
YUNGOOS,7,0,field,T1,MAP_ROUTE104,land,any,common
ZIGZAGOON,3,0,field,T1,MAP_ROUTE104,land,any,common
FIDOUGH,9,0,field,T1,MAP_ROUTE104,land,any,uncommon
BONSLY,2,0,cave,T2,MAP_GRANITE_CAVE_1F,land,any,common
GREAVARD,9,0,night-spooky,T2,MAP_GRANITE_CAVE_1F,land,night,common
IMPIDIMP,8,0,night-spooky,T2,MAP_GRANITE_CAVE_1F,land,night,common
KLINK,5,0,cave,T2,MAP_GRANITE_CAVE_1F,land,any,common
SANDSHREW,1,0,cave,T2,MAP_GRANITE_CAVE_1F,land,any,common
SHUPPET,3,0,night-spooky,T2,MAP_GRANITE_CAVE_1F,land,night,common
DIGLETT,1,0,cave,T2,MAP_GRANITE_CAVE_B1F,land,any,common
DUSKULL,3,0,night-spooky,T2,MAP_GRANITE_CAVE_B1F,land,night,common
GIMMIGHOUL_CHEST,9,0,night-spooky,T2,MAP_GRANITE_CAVE_B1F,land,night,common
INKAY,6,0,night-spooky,T2,MAP_GRANITE_CAVE_B1F,land,night,common
